season,reception,passing_yards,pass_touchdown,rush_touchdown,interception,fumble_lost,rushing_yards,two_pt,receiving_yards,receive_touchdown,id,fantasy_pts
2003,1,0.0,0.0,1.0,0.0,0.0,72.0,0.0,11.0,0.0,00-0002743,15.299999999999999
2004,0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,00-0002743,1.7000000000000002
1999,1,805.0,2.0,1.0,6.0,0.0,114.0,0.0,6.0,0.0,00-0015082,47.2
2000,0,1253.0,3.0,0.0,6.0,8.0,219.0,0.0,0.0,0.0,00-0015082,56.02000000000001
2001,0,37.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,00-0015082,3.48
2002,0,117.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,00-0015082,1.1799999999999997
1999,0,23.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,00-0003557,0.52
2002,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0003557,0.28
1999,23,0.0,0.0,17.0,0.0,1.0,1405.0,1.0,111.0,0.0,00-0004052,276.6
2000,33,0.0,0.0,11.0,0.0,4.0,1318.0,0.0,313.0,0.0,00-0004052,254.10000000000002
2001,28,0.0,0.0,5.0,0.0,3.0,1432.0,1.0,205.0,0.0,00-0004052,217.70000000000002
2002,23,0.0,0.0,7.0,0.0,4.0,820.0,0.0,142.0,1.0,00-0004052,159.2
2003,14,0.0,0.0,8.0,0.0,3.0,1444.0,0.0,159.0,0.0,00-0004052,216.3
2004,2,0.0,0.0,0.0,0.0,0.0,92.0,0.0,32.0,0.0,00-0004052,14.400000000000002
2005,5,0.0,0.0,12.0,0.0,0.0,546.0,0.0,45.0,0.0,00-0004052,136.1
2006,12,0.0,0.0,0.0,0.0,1.0,177.0,0.0,90.0,1.0,00-0004052,42.7
1999,0,4005.0,24.0,2.0,13.0,6.0,31.0,1.0,0.0,0.0,00-0008442,235.30000000000004
2000,0,2505.0,11.0,1.0,15.0,3.0,58.0,0.0,0.0,0.0,00-0008442,119.99999999999999
2001,0,3406.0,13.0,3.0,11.0,2.0,120.0,2.0,0.0,0.0,00-0008442,196.24
2002,0,3049.0,22.0,0.0,6.0,2.0,30.0,2.0,0.0,0.0,00-0008442,200.96
2003,0,3821.0,26.0,0.0,21.0,2.0,33.0,1.0,0.0,0.0,00-0008442,216.14000000000004
2004,0,674.0,3.0,0.0,3.0,1.0,23.0,1.0,0.0,0.0,00-0008442,35.26
2005,0,1885.0,12.0,0.0,4.0,3.0,53.0,0.0,0.0,0.0,00-0008442,114.7
2006,0,2750.0,9.0,1.0,15.0,4.0,82.0,0.0,0.0,0.0,00-0008442,122.2
2007,0,79.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,00-0008442,2.66
2008,0,427.0,2.0,0.0,5.0,0.0,-1.0,0.0,0.0,0.0,00-0008442,14.980000000000002
1999,0,2964.0,17.0,1.0,12.0,1.0,10.0,0.0,0.0,0.0,00-0000104,167.56
2000,0,1632.0,7.0,0.0,14.0,2.0,13.0,1.0,0.0,0.0,00-0000104,64.58
1999,27,0.0,0.0,11.0,0.0,3.0,1397.0,0.0,119.0,2.0,00-0015165,250.60000000000002
2000,11,0.0,0.0,9.0,0.0,5.0,1203.0,0.0,79.0,0.0,00-0015165,183.20000000000002
2001,17,0.0,0.0,3.0,0.0,1.0,1021.0,0.0,116.0,0.0,00-0015165,146.70000000000002
2002,16,0.0,0.0,5.0,0.0,1.0,975.0,0.0,89.0,0.0,00-0015165,150.4
2003,14,0.0,0.0,2.0,0.0,0.0,256.0,0.0,107.0,0.0,00-0015165,62.300000000000004
2004,15,21.0,1.0,9.0,0.0,1.0,937.0,0.0,105.0,0.0,00-0015165,176.04000000000002
1999,34,0.0,0.0,2.0,0.0,3.0,403.0,0.0,224.0,0.0,00-0017209,102.70000000000002
2000,32,0.0,0.0,2.0,0.0,2.0,296.0,0.0,303.0,1.0,00-0017209,105.89999999999999
1999,80,0.0,0.0,1.0,0.0,1.0,110.0,0.0,1097.0,6.0,00-0008060,240.7
2000,25,0.0,0.0,0.0,0.0,1.0,73.0,1.0,350.0,1.0,00-0008060,73.3
2001,53,0.0,0.0,0.0,0.0,0.0,31.0,0.0,834.0,2.0,00-0008060,151.5
1999,31,0.0,0.0,1.0,0.0,1.0,220.0,0.0,305.0,0.0,00-0011399,87.5
2000,13,21.0,0.0,2.0,0.0,1.0,187.0,0.0,89.0,1.0,00-0011399,57.44
2001,6,0.0,0.0,0.0,0.0,2.0,9.0,0.0,122.0,0.0,00-0011399,15.100000000000001
2002,0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0011399,6.28
2003,4,0.0,0.0,1.0,0.0,1.0,20.0,0.0,38.0,0.0,00-0011399,13.8
1999,62,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1132.0,7.0,00-0003378,216.0
2000,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,3.0,00-0003378,133.2
2001,12,0.0,0.0,0.0,0.0,0.0,6.0,0.0,191.0,2.0,00-0003378,43.7
1999,69,0.0,0.0,0.0,0.0,0.0,51.0,0.0,544.0,3.0,00-0002846,146.5
2000,81,0.0,0.0,0.0,0.0,0.0,103.0,0.0,600.0,3.0,00-0002846,169.3
2001,80,0.0,0.0,2.0,0.0,1.0,160.0,0.0,620.0,2.0,00-0002846,180.0
2002,43,0.0,0.0,2.0,0.0,0.0,56.0,0.0,388.0,0.0,00-0002846,99.4
2003,19,0.0,0.0,0.0,0.0,0.0,82.0,0.0,106.0,1.0,00-0002846,43.800000000000004
1999,8,0.0,0.0,3.0,0.0,0.0,257.0,0.0,72.0,0.0,00-0007389,58.900000000000006
2000,5,0.0,0.0,1.0,0.0,0.0,78.0,0.0,43.0,0.0,00-0007389,23.1
2001,5,0.0,0.0,1.0,0.0,0.0,341.0,0.0,22.0,0.0,00-0007389,47.300000000000004
1999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0003395,0.0
1999,0,3346.0,23.0,0.0,16.0,5.0,56.0,0.0,0.0,0.0,00-0009311,189.44
2000,0,2658.0,18.0,1.0,19.0,7.0,127.0,0.0,0.0,0.0,00-0009311,145.01999999999998
